INDICATOR,SCORE,DATE,COUNTY,FOLLOW_UP
Data Visualization & use,1.8,12/10/2021,Kirinyaga,1st
Reporting and external communication,1.8,12/10/2021,Kirinyaga,1st
Emergency Preparedness,1.8,12/10/2021,Kirinyaga,1st
county hook,1.6,12/10/2021,Nakuru,1st
coordination,1.65,12/10/2021,Nakuru,1st
stakeholder mapping,1.7,12/10/2021,Nakuru,1st
Internal Co-ordination (MSH),1.75,12/10/2021,Nakuru,1st
Physical Space ,1.8,12/10/2021,Nakuru,1st
ICT Infrastructure,1.85,12/10/2021,Nakuru,1st
Daily Operations,1.9,12/10/2021,Nakuru,1st
SOPs,1.95,12/10/2021,Nakuru,1st
Human Resources,2,12/10/2021,Nakuru,1st
Training & Exercises,2.05,12/10/2021,Nakuru,1st
One Health,2.1,12/10/2021,Nakuru,1st
Surveillance,2.15,12/10/2021,Nakuru,1st
Data Visualization & use,2.2,12/10/2021,Nakuru,1st
Reporting and external communication,2.25,12/10/2021,Nakuru,1st
Emergency Preparedness,2.3,12/10/2021,Nakuru,1st
county hook,2.4,12/10/2021,Muranga,1st
coordination,2.4,12/10/2021,Muranga,1st
stakeholder mapping,2.4,12/10/2021,Muranga,1st
Internal Co-ordination (MSH),2.4,12/10/2021,Muranga,1st
Physical Space ,2.4,12/10/2021,Muranga,1st
ICT Infrastructure,2.4,12/10/2021,Muranga,1st
Daily Operations,2.4,12/10/2021,Muranga,1st
SOPs,2.4,12/10/2021,Muranga,1st
Human Resources,2.4,12/10/2021,Muranga,1st
Training & Exercises,2.4,12/10/2021,Muranga,1st
One Health,2.4,12/10/2021,Muranga,1st
Surveillance,2.4,12/10/2021,Muranga,1st
Data Visualization & use,2.4,12/10/2021,Muranga,1st
Reporting and external communication,2.4,12/10/2021,Muranga,1st
Emergency Preparedness,2.4,12/10/2021,Muranga,1st
county hook,2.7,12/09/2021,Nairobi,Baseline
coordination,2.7,12/09/2021,Nairobi,Baseline
stakeholder mapping,2.7,12/09/2021,Nairobi,Baseline
Internal Co-ordination (MSH),2.7,12/09/2021,Nairobi,Baseline
Physical Space ,2.7,12/09/2021,Nairobi,Baseline
ICT Infrastructure,2.7,12/09/2021,Nairobi,Baseline
Daily Operations,2.7,12/09/2021,Nairobi,Baseline
SOPs,2.7,12/09/2021,Nairobi,Baseline
Human Resources,2.7,12/09/2021,Nairobi,Baseline
Training & Exercises,2.7,12/09/2021,Nairobi,Baseline
One Health,2.7,12/09/2021,Nairobi,Baseline
Surveillance,2.7,12/09/2021,Nairobi,Baseline
Data Visualization & use,2.7,12/09/2021,Nairobi,Baseline
Reporting and external communication,2.7,12/09/2021,Nairobi,Baseline
Emergency Preparedness,2.7,12/09/2021,Nairobi,Baseline
county hook,2,12/09/2021,Kiambu,Baseline
coordination,2,12/09/2021,Kiambu,Baseline
stakeholder mapping,2,12/09/2021,Kiambu,Baseline
Internal Co-ordination (MSH),2,12/09/2021,Kiambu,Baseline
Physical Space ,2,12/09/2021,Kiambu,Baseline
ICT Infrastructure,2,12/09/2021,Kiambu,Baseline
Daily Operations,2,12/09/2021,Kiambu,Baseline
SOPs,2,12/09/2021,Kiambu,Baseline
Human Resources,2,12/09/2021,Kiambu,Baseline
Training & Exercises,2,12/09/2021,Kiambu,Baseline
One Health,2,12/09/2021,Kiambu,Baseline
Surveillance,2,12/09/2021,Kiambu,Baseline
Data Visualization & use,2,12/09/2021,Kiambu,Baseline
Reporting and external communication,2,12/09/2021,Kiambu,Baseline
Emergency Preparedness,2,12/09/2021,Kiambu,Baseline
county hook,2.1,12/09/2021,Migori,Baseline
coordination,2.1,12/09/2021,Migori,Baseline
stakeholder mapping,2.1,12/09/2021,Migori,Baseline
Internal Co-ordination (MSH),2.1,12/09/2021,Migori,Baseline
Physical Space ,2.1,12/09/2021,Migori,Baseline
ICT Infrastructure,2.1,12/09/2021,Migori,Baseline
Daily Operations,2.1,12/09/2021,Migori,Baseline
SOPs,2.1,12/09/2021,Migori,Baseline
Human Resources,2.1,12/09/2021,Migori,Baseline
Training & Exercises,2.1,12/09/2021,Migori,Baseline
One Health,2.1,12/09/2021,Migori,Baseline
Surveillance,2.1,12/09/2021,Migori,Baseline
Data Visualization & use,2.1,12/09/2021,Migori,Baseline
Reporting and external communication,2.1,12/09/2021,Migori,Baseline
Emergency Preparedness,2.1,12/09/2021,Migori,Baseline
county hook,1.5,12/09/2021,Mombasa,Baseline
coordination,1.5,12/09/2021,Mombasa,Baseline
stakeholder mapping,1.5,12/09/2021,Mombasa,Baseline
Internal Co-ordination (MSH),1.5,12/09/2021,Mombasa,Baseline
Physical Space ,1.5,12/09/2021,Mombasa,Baseline
ICT Infrastructure,1.5,12/09/2021,Mombasa,Baseline
Daily Operations,1.5,12/09/2021,Mombasa,Baseline
SOPs,1.5,12/09/2021,Mombasa,Baseline
Human Resources,1.5,12/09/2021,Mombasa,Baseline
Training & Exercises,1.5,12/09/2021,Mombasa,Baseline
One Health,1.5,12/09/2021,Mombasa,Baseline
Surveillance,1.5,12/09/2021,Mombasa,Baseline
Data Visualization & use,1.5,12/09/2021,Mombasa,Baseline
Reporting and external communication,1.5,12/09/2021,Mombasa,Baseline
Emergency Preparedness,1.5,12/09/2021,Mombasa,Baseline
county hook,1.4,12/09/2021,Marsabit,Baseline
coordination,1.4,12/09/2021,Marsabit,Baseline
stakeholder mapping,1.4,12/09/2021,Marsabit,Baseline
Internal Co-ordination (MSH),1.4,12/09/2021,Marsabit,Baseline
Physical Space ,1.4,12/09/2021,Marsabit,Baseline
ICT Infrastructure,1.4,12/09/2021,Marsabit,Baseline
Daily Operations,1.4,12/09/2021,Marsabit,Baseline
SOPs,1.4,12/09/2021,Marsabit,Baseline
Human Resources,1.4,12/09/2021,Marsabit,Baseline
Training & Exercises,1.4,12/09/2021,Marsabit,Baseline
One Health,1.4,12/09/2021,Marsabit,Baseline
Surveillance,1.4,12/09/2021,Marsabit,Baseline
Data Visualization & use,1.4,12/09/2021,Marsabit,Baseline
Reporting and external communication,1.4,12/09/2021,Marsabit,Baseline
Emergency Preparedness,1.4,12/09/2021,Marsabit,Baseline
county hook,1.8,12/09/2021,Kisumu,Baseline
coordination,1.8,12/09/2021,Kisumu,Baseline
stakeholder mapping,1.8,12/09/2021,Kisumu,Baseline
Internal Co-ordination (MSH),1.8,12/09/2021,Kisumu,Baseline
Physical Space ,1.8,12/09/2021,Kisumu,Baseline
ICT Infrastructure,1.8,12/09/2021,Kisumu,Baseline
Daily Operations,1.8,12/09/2021,Kisumu,Baseline
SOPs,1.8,12/09/2021,Kisumu,Baseline
Human Resources,1.8,12/09/2021,Kisumu,Baseline
Training & Exercises,1.8,12/09/2021,Kisumu,Baseline
One Health,1.8,12/09/2021,Kisumu,Baseline
Surveillance,1.8,12/09/2021,Kisumu,Baseline
Data Visualization & use,1.8,12/09/2021,Kisumu,Baseline
Reporting and external communication,1.8,12/09/2021,Kisumu,Baseline
Emergency Preparedness,1.8,12/09/2021,Kisumu,Baseline
county hook,1.8,12/09/2021,Kisii,Baseline
coordination,1.8,12/09/2021,Kisii,Baseline
stakeholder mapping,1.8,12/09/2021,Kisii,Baseline
Internal Co-ordination (MSH),1.8,12/09/2021,Kisii,Baseline
Physical Space ,1.8,12/09/2021,Kisii,Baseline
ICT Infrastructure,1.8,12/09/2021,Kisii,Baseline
Daily Operations,1.8,12/09/2021,Kisii,Baseline
SOPs,1.8,12/09/2021,Kisii,Baseline
Human Resources,1.8,12/09/2021,Kisii,Baseline
Training & Exercises,1.8,12/09/2021,Kisii,Baseline
One Health,1.8,12/09/2021,Kisii,Baseline
Surveillance,1.8,12/09/2021,Kisii,Baseline
Data Visualization & use,1.8,12/09/2021,Kisii,Baseline
Reporting and external communication,1.8,12/09/2021,Kisii,Baseline
Emergency Preparedness,1.8,12/09/2021,Kisii,Baseline
county hook,2.2,12/09/2021,Busia,Baseline
coordination,2.2,12/09/2021,Busia,Baseline
stakeholder mapping,2.2,12/09/2021,Busia,Baseline
Internal Co-ordination (MSH),2.2,12/09/2021,Busia,Baseline
Physical Space ,2.2,12/09/2021,Busia,Baseline
ICT Infrastructure,2.2,12/09/2021,Busia,Baseline
Daily Operations,2.2,12/09/2021,Busia,Baseline
SOPs,2.2,12/09/2021,Busia,Baseline
Human Resources,2.2,12/09/2021,Busia,Baseline
Training & Exercises,2.2,12/09/2021,Busia,Baseline
One Health,2.2,12/09/2021,Busia,Baseline
Surveillance,2.2,12/09/2021,Busia,Baseline
Data Visualization & use,2.2,12/09/2021,Busia,Baseline
Reporting and external communication,2.2,12/09/2021,Busia,Baseline
Emergency Preparedness,2.2,12/09/2021,Busia,Baseline
county hook,2.1,12/09/2021,Garissa,Baseline
coordination,2.1,12/09/2021,Garissa,Baseline
stakeholder mapping,2.1,12/09/2021,Garissa,Baseline
Internal Co-ordination (MSH),2.1,12/09/2021,Garissa,Baseline
Physical Space ,2.1,12/09/2021,Garissa,Baseline
ICT Infrastructure,2.1,12/09/2021,Garissa,Baseline
Daily Operations,2.1,12/09/2021,Garissa,Baseline
SOPs,2.1,12/09/2021,Garissa,Baseline
Human Resources,2.1,12/09/2021,Garissa,Baseline
Training & Exercises,2.1,12/09/2021,Garissa,Baseline
One Health,2.1,12/09/2021,Garissa,Baseline
Surveillance,2.1,12/09/2021,Garissa,Baseline
Data Visualization & use,2.1,12/09/2021,Garissa,Baseline
Reporting and external communication,2.1,12/09/2021,Garissa,Baseline
Emergency Preparedness,2.1,12/09/2021,Garissa,Baseline
county hook,1.9,12/09/2021,Kirinyaga,Baseline
coordination,1.9,12/09/2021,Kirinyaga,Baseline
stakeholder mapping,1.9,12/09/2021,Kirinyaga,Baseline
Internal Co-ordination (MSH),1.9,12/09/2021,Kirinyaga,Baseline
Physical Space ,1.9,12/09/2021,Kirinyaga,Baseline
ICT Infrastructure,1.9,12/09/2021,Kirinyaga,Baseline
Daily Operations,1.9,12/09/2021,Kirinyaga,Baseline
SOPs,1.9,12/09/2021,Kirinyaga,Baseline
Human Resources,1.9,12/09/2021,Kirinyaga,Baseline
Training & Exercises,1.9,12/09/2021,Kirinyaga,Baseline
One Health,1.9,12/09/2021,Kirinyaga,Baseline
Surveillance,1.9,12/09/2021,Kirinyaga,Baseline
Data Visualization & use,1.9,12/09/2021,Kirinyaga,Baseline
Reporting and external communication,1.9,12/09/2021,Kirinyaga,Baseline
Emergency Preparedness,1.9,12/09/2021,Kirinyaga,Baseline
county hook,1.9,12/09/2021,Nakuru,Baseline
coordination,2.2,12/09/2021,Nakuru,Baseline
stakeholder mapping,2.15,12/09/2021,Nakuru,Baseline
Internal Co-ordination (MSH),2.1,12/09/2021,Nakuru,Baseline
Physical Space ,2.05,12/09/2021,Nakuru,Baseline
ICT Infrastructure,2,12/09/2021,Nakuru,Baseline
Daily Operations,1.95,12/09/2021,Nakuru,Baseline
SOPs,1.9,12/09/2021,Nakuru,Baseline
Human Resources,1.85,12/09/2021,Nakuru,Baseline
Training & Exercises,1.8,12/09/2021,Nakuru,Baseline
One Health,1.75,12/09/2021,Nakuru,Baseline
Surveillance,1.7,12/09/2021,Nakuru,Baseline
Data Visualization & use,1.65,12/09/2021,Nakuru,Baseline
Reporting and external communication,1.6,12/09/2021,Nakuru,Baseline
Emergency Preparedness,1.55,12/09/2021,Nakuru,Baseline
county hook,1.7,12/09/2021,Muranga,Baseline
coordination,1.7,12/09/2021,Muranga,Baseline
stakeholder mapping,1.7,12/09/2021,Muranga,Baseline
Internal Co-ordination (MSH),1.7,12/09/2021,Muranga,Baseline
Physical Space ,1.7,12/09/2021,Muranga,Baseline
ICT Infrastructure,1.7,12/09/2021,Muranga,Baseline
Daily Operations,1.7,12/09/2021,Muranga,Baseline
SOPs,1.7,12/09/2021,Muranga,Baseline
Human Resources,1.7,12/09/2021,Muranga,Baseline
Training & Exercises,1.7,12/09/2021,Muranga,Baseline
One Health,1.7,12/09/2021,Muranga,Baseline
Surveillance,1.7,12/09/2021,Muranga,Baseline
Data Visualization & use,1.7,12/09/2021,Muranga,Baseline
Reporting and external communication,1.7,12/09/2021,Muranga,Baseline
Emergency Preparedness,1.7,12/09/2021,Muranga,Baseline
